country,date,day,deaths,confirmed
Spain,3/21/2020,60,332,4964
Spain,3/22/2020,61,394,3646
Spain,3/23/2020,62,462,4517
Spain,3/24/2020,63,514,6584
Spain,3/25/2020,64,738,7937
Spain,3/26/2020,65,655,8578
Spain,3/27/2020,66,769,7871
Spain,3/28/2020,67,832,8189
Spain,3/29/2020,68,838,6549
Spain,3/30/2020,69,812,6398
Spain,3/31/2020,70,849,9222
Spain,4/1/2020,71,864,7719
France,4/2/2020,72,471,2116
Spain,4/2/2020,72,950,8102
France,4/3/2020,73,588,5233
Spain,4/3/2020,73,932,7472
France,4/4/2020,74,441,4060
Spain,4/4/2020,74,809,7026
France,4/5/2020,75,357,2886
Spain,4/5/2020,75,674,6023
France,4/6/2020,76,595,3116
Spain,4/6/2020,76,637,4273
France,4/7/2020,77,607,3777
Spain,4/7/2020,77,743,5478
France,4/8/2020,78,541,3881
Spain,4/8/2020,78,757,6180
France,4/9/2020,79,412,4286
Spain,4/9/2020,79,683,5756
France,4/10/2020,80,554,4332
Spain,4/10/2020,80,605,4576
France,4/11/2020,81,345,3114
Spain,4/11/2020,81,510,4830
France,4/12/2020,82,310,1613
Spain,4/12/2020,82,619,4167
France,4/13/2020,83,335,2673
Spain,4/13/2020,83,517,3477
France,4/14/2020,84,541,5497
Spain,4/14/2020,84,567,3045
France,4/15/2020,85,514,2633
Spain,4/15/2020,85,523,3412
France,4/16/2020,86,417,2641
Spain,4/16/2020,86,551,3503
France,4/17/2020,87,418,405
Spain,4/17/2020,87,585,3572
France,4/18/2020,88,364,2569
Spain,4/18/2020,88,565,2819
France,4/19/2020,89,227,785
Spain,4/19/2020,89,410,2538
France,4/20/2020,90,444,2051
Spain,4/20/2020,90,399,2585
France,4/21/2020,91,387,2667
Spain,4/21/2020,91,430,3352
France,4/22/2020,92,336,1827
Spain,4/22/2020,92,435,2460
France,4/23/2020,93,311,1653
Spain,4/23/2020,93,440,2881
France,4/24/2020,94,305,1773
Spain,4/24/2020,94,367,2796
France,4/25/2020,95,198,1537
Spain,4/25/2020,95,378,2944
France,4/26/2020,96,152,461
Spain,4/26/2020,96,288,1729
